MessageID,Timestamp,Sender,Message,Length,Label
95,2023-07-22 20:56:00,Unknown,Please send me the report by end of the day.,44,Ham
96,2023-10-19 00:53:00,Unknown,"I'm on my way, see you soon.",28,Ham
97,2023-01-21 02:21:00,Unknown,Let's catch up over coffee this weekend.,40,Ham
98,2023-05-11 00:41:00,Unknown,You have been selected for a $500 reward. Confirm now!,54,Spam
99,2023-03-20 22:28:00,KnownContact,"I'm on my way, see you soon.",28,Ham
100,2023-11-14 18:32:00,Unknown,"Thanks for your help yesterday, really appreciate it.",53,Ham
101,2023-10-08 11:46:00,KnownContact,Let's catch up over coffee this weekend.,40,Ham
102,2023-02-02 07:42:00,Unknown,Can you call me when you're free?,33,Ham
103,2023-09-23 05:13:00,KnownContact,"Hey, are we still meeting for lunch today?",42,Ham
104,2023-04-01 17:59:00,Unknown,"Thanks for your help yesterday, really appreciate it.",53,Ham
105,2023-10-25 09:11:00,Unknown,"I'm on my way, see you soon.",28,Ham
106,2023-05-20 16:38:00,KnownContact,"I'm on my way, see you soon.",28,Ham
107,2023-08-08 03:28:00,KnownContact,Please send me the report by end of the day.,44,Ham
108,2023-07-28 22:10:00,Unknown,"Hey, are we still meeting for lunch today?",42,Ham
109,2023-12-05 14:15:00,Unknown,"Good night, talk to you tomorrow.",33,Ham
110,2023-05-04 13:34:00,Unknown,Can you call me when you're free?,33,Ham
111,2023-03-10 00:03:00,Unknown,"I'm on my way, see you soon.",28,Ham
112,2023-06-13 13:52:00,Unknown,Can you call me when you're free?,33,Ham
113,2023-02-03 15:38:00,KnownContact,Happy Birthday! Wishing you a wonderful year ahead.,51,Ham
114,2023-11-28 14:58:00,KnownContact,Are you coming to the party tonight?,36,Ham
115,2023-10-07 14:30:00,KnownContact,"Good night, talk to you tomorrow.",33,Ham
116,2023-01-05 00:54:00,KnownContact,Can you call me when you're free?,33,Ham
117,2023-06-09 08:31:00,Unknown,Don't forget the meeting at 10 AM tomorrow.,43,Ham
118,2023-12-05 06:35:00,Unknown,Earn money from home easily. Sign up today.,43,Spam
119,2023-03-30 08:53:00,Unknown,Claim your free vacation now! Call this number.,47,Spam
120,2023-11-19 06:31:00,Unknown,Are you coming to the party tonight?,36,Ham
121,2023-11-21 16:54:00,Unknown,Let's catch up over coffee this weekend.,40,Ham
122,2023-07-08 17:42:00,Unknown,Are you coming to the party tonight?,36,Ham
123,2023-06-24 05:07:00,Unknown,"I'm on my way, see you soon.",28,Ham
124,2023-06-20 18:04:00,Unknown,Don't forget the meeting at 10 AM tomorrow.,43,Ham
125,2023-04-11 18:15:00,KnownContact,"Thanks for your help yesterday, really appreciate it.",53,Ham
126,2023-04-22 06:27:00,Unknown,Get 90% discount on all items. Visit now!,41,Spam
127,2023-10-24 19:18:00,Unknown,Don't forget the meeting at 10 AM tomorrow.,43,Ham
128,2023-02-15 08:10:00,Unknown,Are you coming to the party tonight?,36,Ham
129,2023-01-15 05:20:00,Unknown,Please send me the report by end of the day.,44,Ham
130,2023-12-14 07:49:00,Unknown,"Good night, talk to you tomorrow.",33,Ham
131,2023-08-06 10:38:00,Unknown,Winner! Text 'WIN' to 54321 to claim your prize.,48,Spam
132,2023-12-22 12:25:00,KnownContact,Please send me the report by end of the day.,44,Ham
133,2023-01-22 03:14:00,Unknown,Please send me the report by end of the day.,44,Ham
134,2023-12-07 08:14:00,KnownContact,Please send me the report by end of the day.,44,Ham
135,2023-10-14 22:00:00,KnownContact,"Good night, talk to you tomorrow.",33,Ham
136,2023-11-09 02:33:00,KnownContact,"Hey, are we still meeting for lunch today?",42,Ham
137,2023-05-13 07:56:00,Unknown,This is your final notice for debt settlement. Call us today.,61,Spam
138,2023-08-27 08:54:00,Unknown,Get 90% discount on all items. Visit now!,41,Spam
139,2023-10-04 01:42:00,Unknown,"Thanks for your help yesterday, really appreciate it.",53,Ham
140,2023-03-01 15:24:00,Unknown,Please send me the report by end of the day.,44,Ham
141,2023-09-12 20:00:00,KnownContact,Let's catch up over coffee this weekend.,40,Ham
142,2023-01-23 14:17:00,KnownContact,Don't forget the meeting at 10 AM tomorrow.,43,Ham
143,2023-04-21 23:04:00,KnownContact,Can you call me when you're free?,33,Ham
144,2023-06-08 17:12:00,KnownContact,Are you coming to the party tonight?,36,Ham
145,2023-05-03 04:19:00,Unknown,"I'm on my way, see you soon.",28,Ham
146,2023-08-15 11:47:00,KnownContact,Don't forget the meeting at 10 AM tomorrow.,43,Ham
147,2023-08-16 03:50:00,Unknown,Congratulations! You've won a $1000 Walmart gift card. Click here to claim.,75,Spam
148,2023-05-25 10:03:00,Unknown,Please send me the report by end of the day.,44,Ham
149,2023-03-16 04:51:00,Unknown,Claim your free vacation now! Call this number.,47,Spam
150,2023-01-30 21:44:00,KnownContact,"I'm on my way, see you soon.",28,Ham
151,2023-02-20 05:06:00,Unknown,Please send me the report by end of the day.,44,Ham
152,2023-11-02 21:03:00,KnownContact,"Thanks for your help yesterday, really appreciate it.",53,Ham
153,2023-09-21 17:41:00,Unknown,Don't forget the meeting at 10 AM tomorrow.,43,Ham
154,2023-11-14 02:41:00,KnownContact,Are you coming to the party tonight?,36,Ham
155,2023-07-16 16:01:00,Unknown,Earn money from home easily. Sign up today.,43,Spam
156,2023-12-05 12:15:00,Unknown,Let's catch up over coffee this weekend.,40,Ham
157,2023-08-23 16:40:00,Unknown,"Good night, talk to you tomorrow.",33,Ham
158,2023-11-25 06:20:00,Unknown,Don't forget the meeting at 10 AM tomorrow.,43,Ham
159,2023-09-02 22:57:00,Unknown,Are you coming to the party tonight?,36,Ham
160,2023-05-13 09:52:00,Unknown,Winner! Text 'WIN' to 54321 to claim your prize.,48,Spam
161,2023-09-05 19:51:00,Unknown,"Thanks for your help yesterday, really appreciate it.",53,Ham
162,2023-01-08 09:24:00,Unknown,"Good night, talk to you tomorrow.",33,Ham
163,2023-06-25 18:00:00,KnownContact,Can you call me when you're free?,33,Ham
164,2023-12-13 16:19:00,KnownContact,Are you coming to the party tonight?,36,Ham
165,2023-01-13 13:20:00,Unknown,Are you coming to the party tonight?,36,Ham
166,2023-10-22 11:25:00,Unknown,Claim your free vacation now! Call this number.,47,Spam
167,2023-12-11 14:49:00,Unknown,"I'm on my way, see you soon.",28,Ham
168,2023-08-29 20:59:00,Unknown,"Thanks for your help yesterday, really appreciate it.",53,Ham
169,2023-08-12 06:37:00,Unknown,Are you coming to the party tonight?,36,Ham
170,2023-08-18 18:36:00,KnownContact,Don't forget the meeting at 10 AM tomorrow.,43,Ham
171,2023-05-15 19:43:00,Unknown,Earn money from home easily. Sign up today.,43,Spam
172,2023-07-21 08:10:00,Unknown,This is your final notice for debt settlement. Call us today.,61,Spam
173,2023-03-15 04:49:00,Unknown,Let's catch up over coffee this weekend.,40,Ham
174,2023-09-20 18:51:00,KnownContact,"I'm on my way, see you soon.",28,Ham
175,2023-04-03 04:11:00,Unknown,Congratulations! You've won a $1000 Walmart gift card. Click here to claim.,75,Spam
176,2023-04-02 22:53:00,Unknown,"Hey, are we still meeting for lunch today?",42,Ham
177,2023-01-09 22:21:00,KnownContact,Are you coming to the party tonight?,36,Ham
178,2023-11-17 17:45:00,Unknown,Are you coming to the party tonight?,36,Ham
179,2023-12-14 20:55:00,Unknown,"Hey, are we still meeting for lunch today?",42,Ham
180,2023-10-19 18:52:00,Unknown,URGENT! Your account has been compromised. Verify your details immediately.,75,Spam
181,2023-04-21 11:37:00,KnownContact,"Good night, talk to you tomorrow.",33,Ham
182,2023-08-10 05:54:00,Unknown,Exclusive offer just for you! Click the link.,45,Spam
183,2023-03-28 06:05:00,Unknown,Claim your free vacation now! Call this number.,47,Spam
184,2023-10-04 23:35:00,KnownContact,Please send me the report by end of the day.,44,Ham
185,2023-11-09 06:20:00,Unknown,Are you coming to the party tonight?,36,Ham
186,2023-03-14 06:13:00,KnownContact,"Good night, talk to you tomorrow.",33,Ham
187,2023-07-12 17:01:00,KnownContact,Can you call me when you're free?,33,Ham
188,2023-05-07 13:36:00,KnownContact,Happy Birthday! Wishing you a wonderful year ahead.,51,Ham
189,2023-10-25 11:21:00,KnownContact,Happy Birthday! Wishing you a wonderful year ahead.,51,Ham
190,2023-08-01 02:07:00,Unknown,"Good night, talk to you tomorrow.",33,Ham
191,2023-07-25 20:51:00,Unknown,You have been selected for a $500 reward. Confirm now!,54,Spam
192,2023-06-19 23:22:00,KnownContact,Are you coming to the party tonight?,36,Ham
193,2023-11-06 13:50:00,KnownContact,"Good night, talk to you tomorrow.",33,Ham
194,2023-04-19 11:46:00,Unknown,Claim your free vacation now! Call this number.,47,Spam
195,2023-02-13 10:15:00,KnownContact,Happy Birthday! Wishing you a wonderful year ahead.,51,Ham
196,2023-07-30 03:50:00,Unknown,You have been selected for a $500 reward. Confirm now!,54,Spam
197,2023-10-21 02:20:00,Unknown,Are you coming to the party tonight?,36,Ham
198,2023-11-15 18:23:00,Unknown,Let's catch up over coffee this weekend.,40,Ham
199,2023-11-11 14:14:00,Unknown,Congratulations! You've won a $1000 Walmart gift card. Click here to claim.,75,Spam
200,2023-01-19 20:01:00,Unknown,"Good night, talk to you tomorrow.",33,Ham
201,2023-01-16 02:33:00,Unknown,Exclusive offer just for you! Click the link.,45,Spam
202,2023-05-08 13:40:00,KnownContact,"I'm on my way, see you soon.",28,Ham
203,2023-05-13 03:45:00,Unknown,Are you coming to the party tonight?,36,Ham
204,2023-03-08 10:34:00,Unknown,Please send me the report by end of the day.,44,Ham
205,2023-08-22 18:53:00,Unknown,Please send me the report by end of the day.,44,Ham
206,2023-10-27 18:01:00,Unknown,Happy Birthday! Wishing you a wonderful year ahead.,51,Ham
207,2023-01-27 17:19:00,Unknown,"I'm on my way, see you soon.",28,Ham
208,2023-08-24 09:37:00,Unknown,"Thanks for your help yesterday, really appreciate it.",53,Ham
209,2023-01-01 20:06:00,Unknown,Get 90% discount on all items. Visit now!,41,Spam
210,2023-10-28 22:01:00,Unknown,Let's catch up over coffee this weekend.,40,Ham
211,2023-09-21 10:33:00,Unknown,Earn money from home easily. Sign up today.,43,Spam
212,2023-02-07 13:58:00,Unknown,Are you coming to the party tonight?,36,Ham
213,2023-07-29 17:40:00,KnownContact,Let's catch up over coffee this weekend.,40,Ham
214,2023-01-22 00:31:00,KnownContact,Are you coming to the party tonight?,36,Ham
215,2023-04-26 07:51:00,KnownContact,"Good night, talk to you tomorrow.",33,Ham
216,2023-03-09 20:56:00,Unknown,"Hey, are we still meeting for lunch today?",42,Ham
217,2023-03-27 12:52:00,Unknown,Don't forget the meeting at 10 AM tomorrow.,43,Ham
218,2023-08-01 12:39:00,Unknown,Happy Birthday! Wishing you a wonderful year ahead.,51,Ham
219,2023-12-18 08:17:00,Unknown,"I'm on my way, see you soon.",28,Ham
220,2023-04-16 07:48:00,Unknown,Can you call me when you're free?,33,Ham
221,2023-02-20 20:01:00,KnownContact,"Good night, talk to you tomorrow.",33,Ham
222,2023-07-14 13:10:00,Unknown,Please send me the report by end of the day.,44,Ham
223,2023-12-23 13:05:00,Unknown,"I'm on my way, see you soon.",28,Ham
224,2023-09-09 07:28:00,Unknown,Are you coming to the party tonight?,36,Ham
225,2023-11-28 13:43:00,Unknown,Let's catch up over coffee this weekend.,40,Ham
226,2023-10-06 20:54:00,KnownContact,Can you call me when you're free?,33,Ham
227,2023-08-20 16:32:00,KnownContact,Please send me the report by end of the day.,44,Ham
228,2023-04-21 18:13:00,Unknown,Please send me the report by end of the day.,44,Ham
229,2023-08-30 18:01:00,KnownContact,"Hey, are we still meeting for lunch today?",42,Ham
230,2023-11-29 17:23:00,KnownContact,Are you coming to the party tonight?,36,Ham
231,2023-10-26 12:53:00,Unknown,Get cheap loans now with instant approval. Limited offer!,57,Spam
232,2023-12-08 20:56:00,KnownContact,Happy Birthday! Wishing you a wonderful year ahead.,51,Ham
233,2023-10-17 10:31:00,Unknown,"I'm on my way, see you soon.",28,Ham
234,2023-08-19 14:03:00,Unknown,"Thanks for your help yesterday, really appreciate it.",53,Ham
235,2023-02-19 19:44:00,KnownContact,Are you coming to the party tonight?,36,Ham
236,2023-03-07 19:29:00,KnownContact,"I'm on my way, see you soon.",28,Ham
237,2023-11-20 01:50:00,KnownContact,Don't forget the meeting at 10 AM tomorrow.,43,Ham
238,2023-01-22 01:53:00,Unknown,You have been selected for a $500 reward. Confirm now!,54,Spam
239,2023-08-02 14:58:00,Unknown,Congratulations! You've won a $1000 Walmart gift card. Click here to claim.,75,Spam
240,2023-06-27 19:39:00,KnownContact,Please send me the report by end of the day.,44,Ham
241,2023-05-04 18:40:00,KnownContact,"Good night, talk to you tomorrow.",33,Ham
242,2023-10-06 13:26:00,Unknown,Exclusive offer just for you! Click the link.,45,Spam
243,2023-04-15 05:09:00,Unknown,Can you call me when you're free?,33,Ham
244,2023-07-05 22:09:00,Unknown,"I'm on my way, see you soon.",28,Ham
245,2023-04-26 00:49:00,Unknown,Are you coming to the party tonight?,36,Ham
246,2023-08-06 20:05:00,Unknown,Winner! Text 'WIN' to 54321 to claim your prize.,48,Spam
247,2023-11-29 15:47:00,Unknown,Please send me the report by end of the day.,44,Ham
248,2023-12-18 20:40:00,Unknown,Can you call me when you're free?,33,Ham
249,2023-09-19 09:15:00,Unknown,Get 90% discount on all items. Visit now!,41,Spam
250,2023-10-16 05:12:00,KnownContact,"I'm on my way, see you soon.",28,Ham
251,2023-12-28 16:56:00,KnownContact,"Good night, talk to you tomorrow.",33,Ham
252,2023-09-14 13:15:00,KnownContact,"I'm on my way, see you soon.",28,Ham
253,2023-04-10 14:23:00,Unknown,Can you call me when you're free?,33,Ham
254,2023-11-17 23:56:00,Unknown,"Hey, are we still meeting for lunch today?",42,Ham
255,2023-04-06 16:35:00,Unknown,Winner! Text 'WIN' to 54321 to claim your prize.,48,Spam
256,2023-08-26 21:49:00,Unknown,You have been selected for a $500 reward. Confirm now!,54,Spam
257,2023-04-07 05:39:00,KnownContact,Happy Birthday! Wishing you a wonderful year ahead.,51,Ham
258,2023-04-30 19:37:00,Unknown,"Thanks for your help yesterday, really appreciate it.",53,Ham
259,2023-09-04 15:28:00,Unknown,Are you coming to the party tonight?,36,Ham
260,2023-04-13 11:54:00,KnownContact,Are you coming to the party tonight?,36,Ham
261,2023-09-24 08:22:00,Unknown,Can you call me when you're free?,33,Ham
262,2023-01-11 03:14:00,Unknown,Get 90% discount on all items. Visit now!,41,Spam
263,2023-09-26 09:30:00,Unknown,Don't forget the meeting at 10 AM tomorrow.,43,Ham
264,2023-09-28 11:58:00,Unknown,"I'm on my way, see you soon.",28,Ham
265,2023-12-10 07:39:00,Unknown,Claim your free vacation now! Call this number.,47,Spam
266,2023-08-27 20:19:00,Unknown,Earn money from home easily. Sign up today.,43,Spam
267,2023-12-05 01:39:00,KnownContact,Can you call me when you're free?,33,Ham
268,2023-03-26 23:03:00,Unknown,"I'm on my way, see you soon.",28,Ham
269,2023-08-10 15:09:00,Unknown,Congratulations! You've won a $1000 Walmart gift card. Click here to claim.,75,Spam
270,2023-06-20 23:25:00,KnownContact,Don't forget the meeting at 10 AM tomorrow.,43,Ham
271,2023-11-27 07:59:00,Unknown,Happy Birthday! Wishing you a wonderful year ahead.,51,Ham
272,2023-04-23 12:29:00,Unknown,Let's catch up over coffee this weekend.,40,Ham
273,2023-10-25 04:20:00,Unknown,Don't forget the meeting at 10 AM tomorrow.,43,Ham
274,2023-09-27 19:28:00,KnownContact,"I'm on my way, see you soon.",28,Ham
275,2023-09-22 02:23:00,KnownContact,Are you coming to the party tonight?,36,Ham
276,2023-09-19 04:16:00,Unknown,Winner! Text 'WIN' to 54321 to claim your prize.,48,Spam
277,2023-05-19 05:08:00,Unknown,You have been selected for a $500 reward. Confirm now!,54,Spam
278,2023-06-04 10:49:00,KnownContact,Are you coming to the party tonight?,36,Ham
279,2023-02-06 19:55:00,KnownContact,"Good night, talk to you tomorrow.",33,Ham
280,2023-05-30 10:13:00,KnownContact,Can you call me when you're free?,33,Ham
281,2023-05-31 20:20:00,Unknown,Earn money from home easily. Sign up today.,43,Spam
282,2023-04-18 10:41:00,Unknown,Can you call me when you're free?,33,Ham
283,2023-07-21 21:43:00,KnownContact,"Good night, talk to you tomorrow.",33,Ham
284,2023-07-02 12:29:00,KnownContact,Happy Birthday! Wishing you a wonderful year ahead.,51,Ham
285,2023-04-06 23:25:00,KnownContact,Don't forget the meeting at 10 AM tomorrow.,43,Ham
286,2023-08-24 18:18:00,Unknown,Claim your free vacation now! Call this number.,47,Spam
287,2023-02-08 03:44:00,Unknown,You have been selected for a $500 reward. Confirm now!,54,Spam
288,2023-03-24 18:09:00,Unknown,Get 90% discount on all items. Visit now!,41,Spam
289,2023-09-21 15:05:00,Unknown,Are you coming to the party tonight?,36,Ham
290,2023-06-11 07:51:00,Unknown,Don't forget the meeting at 10 AM tomorrow.,43,Ham
291,2023-11-30 12:52:00,Unknown,"Hey, are we still meeting for lunch today?",42,Ham
292,2023-12-15 18:48:00,KnownContact,"Hey, are we still meeting for lunch today?",42,Ham
293,2023-12-24 00:04:00,KnownContact,Please send me the report by end of the day.,44,Ham
294,2023-02-28 19:54:00,KnownContact,Are you coming to the party tonight?,36,Ham
295,2023-04-02 21:21:00,KnownContact,Happy Birthday! Wishing you a wonderful year ahead.,51,Ham
296,2023-10-05 08:47:00,Unknown,"Good night, talk to you tomorrow.",33,Ham
297,2023-11-27 09:15:00,Unknown,Let's catch up over coffee this weekend.,40,Ham
298,2023-03-25 07:31:00,KnownContact,Please send me the report by end of the day.,44,Ham
299,2023-11-10 04:01:00,KnownContact,Let's catch up over coffee this weekend.,40,Ham
300,2023-09-04 19:15:00,Unknown,Can you call me when you're free?,33,Ham
301,2023-03-11 05:44:00,Unknown,Please send me the report by end of the day.,44,Ham
302,2023-09-30 13:23:00,Unknown,"Thanks for your help yesterday, really appreciate it.",53,Ham
303,2023-03-08 10:16:00,KnownContact,Are you coming to the party tonight?,36,Ham
304,2023-03-12 07:35:00,Unknown,Don't forget the meeting at 10 AM tomorrow.,43,Ham
305,2023-02-13 16:14:00,KnownContact,"Thanks for your help yesterday, really appreciate it.",53,Ham
306,2023-03-31 00:08:00,Unknown,Let's catch up over coffee this weekend.,40,Ham
307,2023-07-29 10:41:00,KnownContact,Please send me the report by end of the day.,44,Ham
308,2023-06-04 21:52:00,KnownContact,"Thanks for your help yesterday, really appreciate it.",53,Ham
309,2023-06-13 06:57:00,Unknown,This is your final notice for debt settlement. Call us today.,61,Spam
310,2023-03-25 15:45:00,Unknown,"Thanks for your help yesterday, really appreciate it.",53,Ham
311,2023-11-09 11:16:00,KnownContact,"Good night, talk to you tomorrow.",33,Ham
312,2023-07-14 17:59:00,KnownContact,"Good night, talk to you tomorrow.",33,Ham
313,2023-08-13 23:53:00,Unknown,You have been selected for a $500 reward. Confirm now!,54,Spam
314,2023-05-13 02:17:00,KnownContact,"Thanks for your help yesterday, really appreciate it.",53,Ham
315,2023-02-20 16:05:00,Unknown,"Good night, talk to you tomorrow.",33,Ham
316,2023-03-08 19:34:00,Unknown,Congratulations! You've won a $1000 Walmart gift card. Click here to claim.,75,Spam
317,2023-11-02 17:06:00,Unknown,Can you call me when you're free?,33,Ham
318,2023-08-15 22:15:00,Unknown,Happy Birthday! Wishing you a wonderful year ahead.,51,Ham
319,2023-02-08 07:24:00,KnownContact,"Good night, talk to you tomorrow.",33,Ham
320,2023-02-06 05:39:00,Unknown,Exclusive offer just for you! Click the link.,45,Spam
321,2023-11-05 18:11:00,Unknown,"I'm on my way, see you soon.",28,Ham
